L_mm,r_abs,contrast_dB,contrast_linear,n_mode,S_mid
1.0000,0.5000,9.5423,8.9997,1,0.499993
1.1206,0.5000,9.5423,8.9997,1,0.499994
1.2412,0.5000,9.5423,8.9997,1,0.499994
1.3618,0.5000,9.5423,8.9998,1,0.499995
1.4824,0.5000,9.5423,8.9998,1,0.499995
1.6030,0.5000,9.5420,8.9992,2,0.499982
1.7236,0.5000,9.5420,8.9992,2,0.499984
1.8442,0.5000,9.5421,8.9993,2,0.499985
1.9648,0.5000,9.5421,8.9993,2,0.499986
2.0854,0.5000,9.5421,8.9994,2,0.499987
2.2060,0.5000,9.5421,8.9994,2,0.499987
2.3266,0.5000,9.5421,8.9994,2,0.499988
2.4472,0.5000,9.5422,8.9994,2,0.499989
2.5678,0.5000,9.5419,8.9988,3,0.499975
2.6884,0.5000,9.5419,8.9989,3,0.499976
2.8090,0.5000,9.5419,8.9989,3,0.499977
2.9296,0.5000,9.5419,8.9990,3,0.499978
3.0503,0.5000,9.5419,8.9990,3,0.499979
3.1709,0.5000,9.5420,8.9990,3,0.499980
3.2915,0.5000,9.5420,8.9991,3,0.499981
3.4121,0.5000,9.5420,8.9991,3,0.499981
3.5327,0.5000,9.5417,8.9985,4,0.499968
3.6533,0.5000,9.5417,8.9985,4,0.499969
3.7739,0.5000,9.5417,8.9986,4,0.499970
3.8945,0.5000,9.5418,8.9986,4,0.499971
4.0151,0.5000,9.5418,8.9987,4,0.499972
4.1357,0.5000,9.5418,8.9987,4,0.499973
4.2563,0.5000,9.5418,8.9987,4,0.499974
4.3769,0.5000,9.5418,8.9988,4,0.499974
4.4975,0.5000,9.5418,8.9988,4,0.499975
4.6181,0.5000,9.5415,8.9982,5,0.499962
4.7387,0.5000,9.5416,8.9982,5,0.499963
4.8593,0.5000,9.5416,8.9983,5,0.499964
4.9799,0.5000,9.5416,8.9983,5,0.499965
5.1005,0.5000,9.5416,8.9983,5,0.499966
5.2211,0.5000,9.5416,8.9984,5,0.499966
5.3417,0.5000,9.5417,8.9984,5,0.499967
5.4623,0.5000,9.5417,8.9985,5,0.499968
5.5829,0.5000,9.5414,8.9978,6,0.499955
5.7035,0.5000,9.5414,8.9979,6,0.499956
5.8241,0.5000,9.5414,8.9979,6,0.499957
5.9447,0.5000,9.5414,8.9980,6,0.499957
6.0653,0.5000,9.5415,8.9980,6,0.499958
6.1859,0.5000,9.5415,8.9980,6,0.499959
6.3065,0.5000,9.5415,8.9981,6,0.499960
6.4271,0.5000,9.5415,8.9981,6,0.499961
6.5477,0.5000,9.5412,8.9975,7,0.499947
6.6683,0.5000,9.5412,8.9975,7,0.499948
6.7889,0.5000,9.5412,8.9976,7,0.499949
6.9095,0.5000,9.5413,8.9976,7,0.499950
7.0302,0.5000,9.5413,8.9976,7,0.499951
7.1508,0.5000,9.5413,8.9977,7,0.499952
7.2714,0.5000,9.5413,8.9977,7,0.499953
7.3920,0.5000,9.5413,8.9978,7,0.499953
7.5126,0.5000,9.5410,8.9971,8,0.499940
7.6332,0.5000,9.5411,8.9972,8,0.499941
7.7538,0.5000,9.5411,8.9972,8,0.499942
7.8744,0.5000,9.5411,8.9973,8,0.499943
7.9950,0.5000,9.5411,8.9973,8,0.499944
8.1156,0.5000,9.5411,8.9973,8,0.499945
8.2362,0.5000,9.5412,8.9974,8,0.499945
8.3568,0.5000,9.5412,8.9974,8,0.499946
8.4774,0.5000,9.5412,8.9975,8,0.499947
8.5980,0.5000,9.5409,8.9968,9,0.499934
8.7186,0.5000,9.5409,8.9969,9,0.499935
8.8392,0.5000,9.5409,8.9969,9,0.499936
8.9598,0.5000,9.5410,8.9969,9,0.499936
9.0804,0.5000,9.5410,8.9970,9,0.499937
9.2010,0.5000,9.5410,8.9970,9,0.499938
9.3216,0.5000,9.5410,8.9971,9,0.499939
9.4422,0.5000,9.5410,8.9971,9,0.499940
9.5628,0.5000,9.5407,8.9965,10,0.499926
9.6834,0.5000,9.5407,8.9965,10,0.499927
9.8040,0.5000,9.5408,8.9966,10,0.499928
9.9246,0.5000,9.5408,8.9966,10,0.499929
10.0452,0.5000,9.5408,8.9966,10,0.499930
10.1658,0.5000,9.5408,8.9967,10,0.499931
10.2864,0.5000,9.5408,8.9967,10,0.499932
10.4070,0.5000,9.5409,8.9968,10,0.499932
10.5276,0.5000,9.5406,8.9961,11,0.499919
10.6482,0.5000,9.5406,8.9962,11,0.499920
10.7688,0.5000,9.5406,8.9962,11,0.499921
10.8894,0.5000,9.5406,8.9963,11,0.499922
11.0101,0.5000,9.5406,8.9963,11,0.499923
11.1307,0.5000,9.5407,8.9963,11,0.499924
11.2513,0.5000,9.5407,8.9964,11,0.499924
11.3719,0.5000,9.5407,8.9964,11,0.499925
11.4925,0.5000,9.5407,8.9964,11,0.499926
11.6131,0.5000,9.5404,8.9958,12,0.499913
11.7337,0.5000,9.5404,8.9959,12,0.499914
11.8543,0.5000,9.5404,8.9959,12,0.499915
11.9749,0.5000,9.5405,8.9959,12,0.499915
12.0955,0.5000,9.5405,8.9960,12,0.499916
12.2161,0.5000,9.5405,8.9960,12,0.499917
12.3367,0.5000,9.5405,8.9961,12,0.499918
12.4573,0.5000,9.5405,8.9961,12,0.499919
12.5779,0.5000,9.5402,8.9955,13,0.499906
12.6985,0.5000,9.5403,8.9955,13,0.499906
12.8191,0.5000,9.5403,8.9956,13,0.499907
12.9397,0.5000,9.5403,8.9956,13,0.499908
13.0603,0.5000,9.5403,8.9956,13,0.499909
13.1809,0.5000,9.5403,8.9957,13,0.499910
13.3015,0.5000,9.5404,8.9957,13,0.499911
13.4221,0.5000,9.5404,8.9958,13,0.499911
13.5427,0.5000,9.5401,8.9951,14,0.499898
13.6633,0.5000,9.5401,8.9952,14,0.499899
13.7839,0.5000,9.5401,8.9952,14,0.499900
13.9045,0.5000,9.5401,8.9952,14,0.499901
14.0251,0.5000,9.5401,8.9953,14,0.499902
14.1457,0.5000,9.5402,8.9953,14,0.499903
14.2663,0.5000,9.5402,8.9954,14,0.499903
14.3869,0.5000,9.5402,8.9954,14,0.499904
14.5075,0.5000,9.5399,8.9948,15,0.499891
14.6281,0.5000,9.5399,8.9948,15,0.499892
14.7487,0.5000,9.5399,8.9949,15,0.499893
14.8693,0.5000,9.5400,8.9949,15,0.499894
14.9899,0.5000,9.5400,8.9949,15,0.499894
15.1106,0.5000,9.5400,8.9950,15,0.499895
15.2312,0.5000,9.5400,8.9950,15,0.499896
15.3518,0.5000,9.5400,8.9951,15,0.499897
15.4724,0.5000,9.5401,8.9951,15,0.499898
15.5930,0.5000,9.5398,8.9945,16,0.499885
15.7136,0.5000,9.5398,8.9945,16,0.499885
15.8342,0.5000,9.5398,8.9945,16,0.499886
15.9548,0.5000,9.5398,8.9946,16,0.499887
16.0754,0.5000,9.5398,8.9946,16,0.499888
16.1960,0.5000,9.5399,8.9947,16,0.499889
16.3166,0.5000,9.5399,8.9947,16,0.499890
16.4372,0.5000,9.5399,8.9947,16,0.499891
16.5578,0.5000,9.5396,8.9941,17,0.499877
16.6784,0.5000,9.5396,8.9942,17,0.499878
16.7990,0.5000,9.5396,8.9942,17,0.499879
16.9196,0.5000,9.5396,8.9942,17,0.499880
17.0402,0.5000,9.5397,8.9943,17,0.499881
17.1608,0.5000,9.5397,8.9943,17,0.499882
17.2814,0.5000,9.5397,8.9944,17,0.499882
17.4020,0.5000,9.5397,8.9944,17,0.499883
17.5226,0.5000,9.5394,8.9938,18,0.499870
17.6432,0.5000,9.5394,8.9938,18,0.499871
17.7638,0.5000,9.5395,8.9938,18,0.499872
17.8844,0.5000,9.5395,8.9939,18,0.499873
18.0050,0.5000,9.5395,8.9939,18,0.499873
18.1256,0.5000,9.5395,8.9940,18,0.499874
18.2462,0.5000,9.5395,8.9940,18,0.499875
18.3668,0.5000,9.5396,8.9940,18,0.499876
18.4874,0.5000,9.5396,8.9941,18,0.499877
18.6080,0.5000,9.5393,8.9935,19,0.499864
18.7286,0.5000,9.5393,8.9935,19,0.499864
18.8492,0.5000,9.5393,8.9935,19,0.499865
18.9698,0.5000,9.5393,8.9936,19,0.499866
19.0905,0.5000,9.5393,8.9936,19,0.499867
19.2111,0.5000,9.5394,8.9937,19,0.499868
19.3317,0.5000,9.5394,8.9937,19,0.499869
19.4523,0.5000,9.5394,8.9937,19,0.499870
19.5729,0.5000,9.5391,8.9931,20,0.499856
19.6935,0.5000,9.5391,8.9931,20,0.499857
19.8141,0.5000,9.5391,8.9932,20,0.499858
19.9347,0.5000,9.5392,8.9932,20,0.499859
20.0553,0.5000,9.5392,8.9933,20,0.499860
20.1759,0.5000,9.5392,8.9933,20,0.499861
20.2965,0.5000,9.5392,8.9934,20,0.499861
20.4171,0.5000,9.5392,8.9934,20,0.499862
20.5377,0.5000,9.5389,8.9928,21,0.499849
20.6583,0.5000,9.5389,8.9928,21,0.499850
20.7789,0.5000,9.5390,8.9928,21,0.499851
20.8995,0.5000,9.5390,8.9929,21,0.499852
21.0201,0.5000,9.5390,8.9929,21,0.499853
21.1407,0.5000,9.5390,8.9930,21,0.499853
21.2613,0.5000,9.5390,8.9930,21,0.499854
21.3819,0.5000,9.5391,8.9930,21,0.499855
21.5025,0.5000,9.5388,8.9924,22,0.499842
21.6231,0.5000,9.5388,8.9925,22,0.499843
21.7437,0.5000,9.5388,8.9925,22,0.499844
21.8643,0.5000,9.5388,8.9925,22,0.499844
21.9849,0.5000,9.5388,8.9926,22,0.499845
22.1055,0.5000,9.5389,8.9926,22,0.499846
22.2261,0.5000,9.5389,8.9927,22,0.499847
22.3467,0.5000,9.5389,8.9927,22,0.499848
22.4673,0.5000,9.5389,8.9927,22,0.499849
22.5879,0.5000,9.5386,8.9921,23,0.499835
22.7085,0.5000,9.5386,8.9921,23,0.499836
22.8291,0.5000,9.5387,8.9922,23,0.499837
22.9497,0.5000,9.5387,8.9922,23,0.499838
23.0704,0.5000,9.5387,8.9923,23,0.499839
23.1910,0.5000,9.5387,8.9923,23,0.499840
23.3116,0.5000,9.5387,8.9923,23,0.499840
23.4322,0.5000,9.5387,8.9924,23,0.499841
23.5528,0.5000,9.5384,8.9918,24,0.499828
23.6734,0.5000,9.5385,8.9918,24,0.499829
23.7940,0.5000,9.5385,8.9918,24,0.499830
23.9146,0.5000,9.5385,8.9919,24,0.499831
24.0352,0.5000,9.5385,8.9919,24,0.499832
24.1558,0.5000,9.5385,8.9920,24,0.499832
24.2764,0.5000,9.5386,8.9920,24,0.499833
24.3970,0.5000,9.5386,8.9920,24,0.499834
24.5176,0.5000,9.5383,8.9914,25,0.499821
24.6382,0.5000,9.5383,8.9914,25,0.499822
24.7588,0.5000,9.5383,8.9915,25,0.499823
24.8794,0.5000,9.5383,8.9915,25,0.499823
25.0000,0.5000,9.5384,8.9916,25,0.499824
1.0000,0.5025,9.5994,9.1188,1,0.502455
1.1206,0.5025,9.5994,9.1189,1,0.502456
1.2412,0.5025,9.5994,9.1189,1,0.502457
1.3618,0.5025,9.5994,9.1189,1,0.502457
1.4824,0.5025,9.5994,9.1189,1,0.502458
1.6030,0.5025,9.5991,9.1183,2,0.502445
1.7236,0.5025,9.5992,9.1184,2,0.502446
1.8442,0.5025,9.5992,9.1184,2,0.502447
1.9648,0.5025,9.5992,9.1185,2,0.502448
2.0854,0.5025,9.5992,9.1185,2,0.502449
2.2060,0.5025,9.5993,9.1185,2,0.502449
2.3266,0.5025,9.5993,9.1186,2,0.502450
2.4472,0.5025,9.5993,9.1186,2,0.502451
2.5678,0.5025,9.5990,9.1180,3,0.502438
2.6884,0.5025,9.5990,9.1180,3,0.502439
2.8090,0.5025,9.5990,9.1181,3,0.502440
2.9296,0.5025,9.5990,9.1181,3,0.502441
3.0503,0.5025,9.5991,9.1182,3,0.502441
3.1709,0.5025,9.5991,9.1182,3,0.502442
3.2915,0.5025,9.5991,9.1182,3,0.502443
3.4121,0.5025,9.5991,9.1183,3,0.502444
3.5327,0.5025,9.5988,9.1176,4,0.502430
3.6533,0.5025,9.5988,9.1177,4,0.502431
3.7739,0.5025,9.5989,9.1177,4,0.502432
3.8945,0.5025,9.5989,9.1178,4,0.502433
4.0151,0.5025,9.5989,9.1178,4,0.502434
4.1357,0.5025,9.5989,9.1178,4,0.502435
4.2563,0.5025,9.5989,9.1179,4,0.502436
4.3769,0.5025,9.5990,9.1179,4,0.502436
4.4975,0.5025,9.5990,9.1179,4,0.502437
4.6181,0.5025,9.5987,9.1173,5,0.502424
4.7387,0.5025,9.5987,9.1173,5,0.502425
4.8593,0.5025,9.5987,9.1174,5,0.502426
4.9799,0.5025,9.5987,9.1174,5,0.502427
5.1005,0.5025,9.5987,9.1175,5,0.502428
5.2211,0.5025,9.5988,9.1175,5,0.502428
5.3417,0.5025,9.5988,9.1176,5,0.502429
5.4623,0.5025,9.5988,9.1176,5,0.502430
5.5829,0.5025,9.5985,9.1169,6,0.502417
5.7035,0.5025,9.5985,9.1170,6,0.502418
5.8241,0.5025,9.5985,9.1170,6,0.502419
5.9447,0.5025,9.5986,9.1171,6,0.502420
6.0653,0.5025,9.5986,9.1171,6,0.502420
6.1859,0.5025,9.5986,9.1172,6,0.502421
6.3065,0.5025,9.5986,9.1172,6,0.502422
6.4271,0.5025,9.5986,9.1172,6,0.502423
6.5477,0.5025,9.5983,9.1166,7,0.502409
6.6683,0.5025,9.5983,9.1166,7,0.502410
6.7889,0.5025,9.5984,9.1167,7,0.502411
6.9095,0.5025,9.5984,9.1167,7,0.502412
7.0302,0.5025,9.5984,9.1168,7,0.502413
7.1508,0.5025,9.5984,9.1168,7,0.502414
7.2714,0.5025,9.5984,9.1168,7,0.502415
7.3920,0.5025,9.5985,9.1169,7,0.502415
7.5126,0.5025,9.5982,9.1162,8,0.502402
7.6332,0.5025,9.5982,9.1163,8,0.502403
7.7538,0.5025,9.5982,9.1163,8,0.502404
7.8744,0.5025,9.5982,9.1164,8,0.502405
7.9950,0.5025,9.5982,9.1164,8,0.502406
8.1156,0.5025,9.5983,9.1164,8,0.502407
8.2362,0.5025,9.5983,9.1165,8,0.502407
8.3568,0.5025,9.5983,9.1165,8,0.502408
8.4774,0.5025,9.5983,9.1166,8,0.502409
8.5980,0.5025,9.5980,9.1159,9,0.502396
8.7186,0.5025,9.5980,9.1160,9,0.502397
8.8392,0.5025,9.5980,9.1160,9,0.502398
8.9598,0.5025,9.5981,9.1161,9,0.502398
9.0804,0.5025,9.5981,9.1161,9,0.502399
9.2010,0.5025,9.5981,9.1161,9,0.502400
9.3216,0.5025,9.5981,9.1162,9,0.502401
9.4422,0.5025,9.5981,9.1162,9,0.502402
9.5628,0.5025,9.5978,9.1156,10,0.502388
9.6834,0.5025,9.5979,9.1156,10,0.502389
9.8040,0.5025,9.5979,9.1157,10,0.502390
9.9246,0.5025,9.5979,9.1157,10,0.502391
10.0452,0.5025,9.5979,9.1157,10,0.502392
10.1658,0.5025,9.5979,9.1158,10,0.502393
10.2864,0.5025,9.5980,9.1158,10,0.502394
10.4070,0.5025,9.5980,9.1159,10,0.502394
10.5276,0.5025,9.5977,9.1152,11,0.502381
10.6482,0.5025,9.5977,9.1153,11,0.502382
10.7688,0.5025,9.5977,9.1153,11,0.502383
10.8894,0.5025,9.5977,9.1153,11,0.502384
11.0101,0.5025,9.5977,9.1154,11,0.502385
11.1307,0.5025,9.5978,9.1154,11,0.502386
11.2513,0.5025,9.5978,9.1155,11,0.502386
11.3719,0.5025,9.5978,9.1155,11,0.502387
11.4925,0.5025,9.5978,9.1155,11,0.502388
11.6131,0.5025,9.5975,9.1149,12,0.502375
11.7337,0.5025,9.5975,9.1149,12,0.502376
11.8543,0.5025,9.5976,9.1150,12,0.502376
11.9749,0.5025,9.5976,9.1150,12,0.502377
12.0955,0.5025,9.5976,9.1151,12,0.502378
12.2161,0.5025,9.5976,9.1151,12,0.502379
12.3367,0.5025,9.5976,9.1151,12,0.502380
12.4573,0.5025,9.5977,9.1152,12,0.502381
12.5779,0.5025,9.5973,9.1145,13,0.502367
12.6985,0.5025,9.5974,9.1146,13,0.502368
12.8191,0.5025,9.5974,9.1146,13,0.502369
12.9397,0.5025,9.5974,9.1147,13,0.502370
13.0603,0.5025,9.5974,9.1147,13,0.502371
13.1809,0.5025,9.5974,9.1147,13,0.502372
13.3015,0.5025,9.5975,9.1148,13,0.502373
13.4221,0.5025,9.5975,9.1148,13,0.502373
13.5427,0.5025,9.5972,9.1142,14,0.502360
13.6633,0.5025,9.5972,9.1142,14,0.502361
13.7839,0.5025,9.5972,9.1143,14,0.502362
13.9045,0.5025,9.5972,9.1143,14,0.502363
14.0251,0.5025,9.5973,9.1144,14,0.502364
14.1457,0.5025,9.5973,9.1144,14,0.502364
14.2663,0.5025,9.5973,9.1144,14,0.502365
14.3869,0.5025,9.5973,9.1145,14,0.502366
14.5075,0.5025,9.5970,9.1138,15,0.502353
14.6281,0.5025,9.5970,9.1139,15,0.502354
14.7487,0.5025,9.5970,9.1139,15,0.502355
14.8693,0.5025,9.5971,9.1140,15,0.502355
14.9899,0.5025,9.5971,9.1140,15,0.502356
15.1106,0.5025,9.5971,9.1140,15,0.502357
15.2312,0.5025,9.5971,9.1141,15,0.502358
15.3518,0.5025,9.5971,9.1141,15,0.502359
15.4724,0.5025,9.5972,9.1142,15,0.502360
15.5930,0.5025,9.5969,9.1135,16,0.502346
15.7136,0.5025,9.5969,9.1136,16,0.502347
15.8342,0.5025,9.5969,9.1136,16,0.502348
15.9548,0.5025,9.5969,9.1136,16,0.502349
16.0754,0.5025,9.5969,9.1137,16,0.502350
16.1960,0.5025,9.5970,9.1137,16,0.502351
16.3166,0.5025,9.5970,9.1138,16,0.502351
16.4372,0.5025,9.5970,9.1138,16,0.502352
16.5578,0.5025,9.5967,9.1132,17,0.502339
16.6784,0.5025,9.5967,9.1132,17,0.502340
16.7990,0.5025,9.5967,9.1132,17,0.502341
16.9196,0.5025,9.5967,9.1133,17,0.502342
17.0402,0.5025,9.5968,9.1133,17,0.502342
17.1608,0.5025,9.5968,9.1134,17,0.502343
17.2814,0.5025,9.5968,9.1134,17,0.502344
17.4020,0.5025,9.5968,9.1134,17,0.502345
17.5226,0.5025,9.5965,9.1128,18,0.502332
17.6432,0.5025,9.5965,9.1128,18,0.502333
17.7638,0.5025,9.5966,9.1129,18,0.502333
17.8844,0.5025,9.5966,9.1129,18,0.502334
18.0050,0.5025,9.5966,9.1130,18,0.502335
18.1256,0.5025,9.5966,9.1130,18,0.502336
18.2462,0.5025,9.5966,9.1130,18,0.502337
18.3668,0.5025,9.5967,9.1131,18,0.502338
18.4874,0.5025,9.5967,9.1131,18,0.502338
18.6080,0.5025,9.5964,9.1125,19,0.502325
18.7286,0.5025,9.5964,9.1125,19,0.502326
18.8492,0.5025,9.5964,9.1126,19,0.502327
18.9698,0.5025,9.5964,9.1126,19,0.502328
19.0905,0.5025,9.5964,9.1127,19,0.502329
19.2111,0.5025,9.5965,9.1127,19,0.502330
19.3317,0.5025,9.5965,9.1127,19,0.502330
19.4523,0.5025,9.5965,9.1128,19,0.502331
19.5729,0.5025,9.5962,9.1121,20,0.502318
19.6935,0.5025,9.5962,9.1122,20,0.502319
19.8141,0.5025,9.5962,9.1122,20,0.502320
19.9347,0.5025,9.5963,9.1123,20,0.502321
20.0553,0.5025,9.5963,9.1123,20,0.502321
20.1759,0.5025,9.5963,9.1123,20,0.502322
20.2965,0.5025,9.5963,9.1124,20,0.502323
20.4171,0.5025,9.5963,9.1124,20,0.502324
20.5377,0.5025,9.5960,9.1118,21,0.502311
20.6583,0.5025,9.5960,9.1118,21,0.502311
20.7789,0.5025,9.5961,9.1119,21,0.502312
20.8995,0.5025,9.5961,9.1119,21,0.502313
21.0201,0.5025,9.5961,9.1119,21,0.502314
21.1407,0.5025,9.5961,9.1120,21,0.502315
21.2613,0.5025,9.5961,9.1120,21,0.502316
21.3819,0.5025,9.5962,9.1121,21,0.502317
21.5025,0.5025,9.5959,9.1114,22,0.502303
21.6231,0.5025,9.5959,9.1115,22,0.502304
21.7437,0.5025,9.5959,9.1115,22,0.502305
21.8643,0.5025,9.5959,9.1115,22,0.502306
21.9849,0.5025,9.5959,9.1116,22,0.502307
22.1055,0.5025,9.5960,9.1116,22,0.502308
22.2261,0.5025,9.5960,9.1117,22,0.502308
22.3467,0.5025,9.5960,9.1117,22,0.502309
22.4673,0.5025,9.5960,9.1117,22,0.502310
22.5879,0.5025,9.5957,9.1111,23,0.502297
22.7085,0.5025,9.5957,9.1111,23,0.502298
22.8291,0.5025,9.5957,9.1112,23,0.502299
22.9497,0.5025,9.5958,9.1112,23,0.502299
23.0704,0.5025,9.5958,9.1113,23,0.502300
23.1910,0.5025,9.5958,9.1113,23,0.502301
23.3116,0.5025,9.5958,9.1113,23,0.502302
23.4322,0.5025,9.5958,9.1114,23,0.502303
23.5528,0.5025,9.5955,9.1107,24,0.502290
23.6734,0.5025,9.5956,9.1108,24,0.502290
23.7940,0.5025,9.5956,9.1108,24,0.502291
23.9146,0.5025,9.5956,9.1109,24,0.502292
24.0352,0.5025,9.5956,9.1109,24,0.502293
24.1558,0.5025,9.5956,9.1110,24,0.502294
24.2764,0.5025,9.5957,9.1110,24,0.502295
24.3970,0.5025,9.5957,9.1110,24,0.502296
24.5176,0.5025,9.5954,9.1104,25,0.502282
24.6382,0.5025,9.5954,9.1104,25,0.502283
24.7588,0.5025,9.5954,9.1105,25,0.502284
24.8794,0.5025,9.5954,9.1105,25,0.502285
25.0000,0.5025,9.5954,9.1106,25,0.502286
1.0000,0.5049,9.6567,9.2400,1,0.504918
1.1206,0.5049,9.6567,9.2400,1,0.504918
1.2412,0.5049,9.6567,9.2400,1,0.504919
1.3618,0.5049,9.6567,9.2401,1,0.504919
1.4824,0.5049,9.6568,9.2401,1,0.504920
1.6030,0.5049,9.6565,9.2394,2,0.504907
1.7236,0.5049,9.6565,9.2395,2,0.504908
1.8442,0.5049,9.6565,9.2396,2,0.504909
1.9648,0.5049,9.6565,9.2396,2,0.504910
2.0854,0.5049,9.6566,9.2396,2,0.504911
2.2060,0.5049,9.6566,9.2397,2,0.504912
2.3266,0.5049,9.6566,9.2397,2,0.504912
2.4472,0.5049,9.6566,9.2397,2,0.504913
2.5678,0.5049,9.6563,9.2391,3,0.504900
2.6884,0.5049,9.6563,9.2391,3,0.504901
2.8090,0.5049,9.6563,9.2392,3,0.504902
2.9296,0.5049,9.6564,9.2392,3,0.504903
3.0503,0.5049,9.6564,9.2393,3,0.504904
3.1709,0.5049,9.6564,9.2393,3,0.504904
3.2915,0.5049,9.6564,9.2394,3,0.504905
3.4121,0.5049,9.6564,9.2394,3,0.504906
3.5327,0.5049,9.6561,9.2387,4,0.504892
3.6533,0.5049,9.6561,9.2388,4,0.504894
3.7739,0.5049,9.6562,9.2388,4,0.504895
3.8945,0.5049,9.6562,9.2389,4,0.504895
4.0151,0.5049,9.6562,9.2389,4,0.504896
4.1357,0.5049,9.6562,9.2390,4,0.504897
4.2563,0.5049,9.6562,9.2390,4,0.504898
4.3769,0.5049,9.6563,9.2390,4,0.504899
4.4975,0.5049,9.6563,9.2391,4,0.504899
4.6181,0.5049,9.6560,9.2384,5,0.504886
4.7387,0.5049,9.6560,9.2385,5,0.504887
4.8593,0.5049,9.6560,9.2385,5,0.504888
4.9799,0.5049,9.6560,9.2385,5,0.504889
5.1005,0.5049,9.6561,9.2386,5,0.504890
5.2211,0.5049,9.6561,9.2386,5,0.504891
5.3417,0.5049,9.6561,9.2387,5,0.504891
5.4623,0.5049,9.6561,9.2387,5,0.504892
5.5829,0.5049,9.6558,9.2380,6,0.504879
5.7035,0.5049,9.6558,9.2381,6,0.504880
5.8241,0.5049,9.6558,9.2381,6,0.504881
5.9447,0.5049,9.6559,9.2382,6,0.504882
6.0653,0.5049,9.6559,9.2382,6,0.504882
6.1859,0.5049,9.6559,9.2383,6,0.504883
6.3065,0.5049,9.6559,9.2383,6,0.504884
6.4271,0.5049,9.6559,9.2383,6,0.504885
6.5477,0.5049,9.6556,9.2377,7,0.504871
6.6683,0.5049,9.6557,9.2377,7,0.504872
6.7889,0.5049,9.6557,9.2378,7,0.504873
6.9095,0.5049,9.6557,9.2378,7,0.504874
7.0302,0.5049,9.6557,9.2379,7,0.504875
7.1508,0.5049,9.6557,9.2379,7,0.504876
7.2714,0.5049,9.6558,9.2379,7,0.504877
7.3920,0.5049,9.6558,9.2380,7,0.504878
7.5126,0.5049,9.6555,9.2373,8,0.504864
7.6332,0.5049,9.6555,9.2374,8,0.504865
7.7538,0.5049,9.6555,9.2374,8,0.504866
7.8744,0.5049,9.6555,9.2375,8,0.504867
7.9950,0.5049,9.6555,9.2375,8,0.504868
8.1156,0.5049,9.6556,9.2375,8,0.504869
8.2362,0.5049,9.6556,9.2376,8,0.504869
8.3568,0.5049,9.6556,9.2376,8,0.504870
8.4774,0.5049,9.6556,9.2377,8,0.504871
8.5980,0.5049,9.6553,9.2370,9,0.504858
8.7186,0.5049,9.6553,9.2370,9,0.504859
8.8392,0.5049,9.6554,9.2371,9,0.504860
8.9598,0.5049,9.6554,9.2371,9,0.504860
9.0804,0.5049,9.6554,9.2372,9,0.504861
9.2010,0.5049,9.6554,9.2372,9,0.504862
9.3216,0.5049,9.6554,9.2373,9,0.504863
9.4422,0.5049,9.6554,9.2373,9,0.504864
9.5628,0.5049,9.6551,9.2366,10,0.504850
9.6834,0.5049,9.6552,9.2367,10,0.504851
9.8040,0.5049,9.6552,9.2367,10,0.504852
9.9246,0.5049,9.6552,9.2368,10,0.504853
10.0452,0.5049,9.6552,9.2368,10,0.504854
10.1658,0.5049,9.6552,9.2369,10,0.504855
10.2864,0.5049,9.6553,9.2369,10,0.504856
10.4070,0.5049,9.6553,9.2369,10,0.504856
10.5276,0.5049,9.6550,9.2363,11,0.504843
10.6482,0.5049,9.6550,9.2363,11,0.504844
10.7688,0.5049,9.6550,9.2364,11,0.504845
10.8894,0.5049,9.6550,9.2364,11,0.504846
11.0101,0.5049,9.6550,9.2364,11,0.504847
11.1307,0.5049,9.6551,9.2365,11,0.504847
11.2513,0.5049,9.6551,9.2365,11,0.504848
11.3719,0.5049,9.6551,9.2366,11,0.504849
11.4925,0.5049,9.6551,9.2366,11,0.504850
11.6131,0.5049,9.6548,9.2360,12,0.504837
11.7337,0.5049,9.6548,9.2360,12,0.504837
11.8543,0.5049,9.6549,9.2360,12,0.504838
11.9749,0.5049,9.6549,9.2361,12,0.504839
12.0955,0.5049,9.6549,9.2361,12,0.504840
12.2161,0.5049,9.6549,9.2362,12,0.504841
12.3367,0.5049,9.6549,9.2362,12,0.504842
12.4573,0.5049,9.6550,9.2362,12,0.504843
12.5779,0.5049,9.6546,9.2356,13,0.504829
12.6985,0.5049,9.6547,9.2356,13,0.504830
12.8191,0.5049,9.6547,9.2357,13,0.504831
12.9397,0.5049,9.6547,9.2357,13,0.504832
13.0603,0.5049,9.6547,9.2358,13,0.504833
13.1809,0.5049,9.6547,9.2358,13,0.504834
13.3015,0.5049,9.6548,9.2358,13,0.504834
13.4221,0.5049,9.6548,9.2359,13,0.504835
13.5427,0.5049,9.6545,9.2352,14,0.504822
13.6633,0.5049,9.6545,9.2353,14,0.504823
13.7839,0.5049,9.6545,9.2353,14,0.504824
13.9045,0.5049,9.6545,9.2354,14,0.504825
14.0251,0.5049,9.6546,9.2354,14,0.504825
14.1457,0.5049,9.6546,9.2354,14,0.504826
14.2663,0.5049,9.6546,9.2355,14,0.504827
14.3869,0.5049,9.6546,9.2355,14,0.504828
14.5075,0.5049,9.6543,9.2349,15,0.504815
14.6281,0.5049,9.6543,9.2349,15,0.504815
14.7487,0.5049,9.6543,9.2349,15,0.504816
14.8693,0.5049,9.6544,9.2350,15,0.504817
14.9899,0.5049,9.6544,9.2350,15,0.504818
